Stress Range [MPa],Cycles [-]
0.5,1877560
1.5,808840
2.5,706640
3.5,496400
4.5,438000
5.5,382520
6.5,283240
7.5,300760
8.5,163520
9.5,195640
10.5,137240
11.5,146000
12.5,154760
13.5,110960
14.5,105120
15.5,93440
16.5,81760
17.5,87600
18.5,67160
19.5,67160
20.5,67160
21.5,49640
22.5,43800
23.5,35040
24.5,55480
25.5,43800
26.5,49640
27.5,43800
28.5,35040
29.5,49640
30.5,29200
31.5,35040
32.5,35040
33.5,29200
34.5,29200
35.5,20440
36.5,11680
37.5,8760
38.5,20440
39.5,11680
40.5,8760
41.5,17520
42.5,5840
43.5,5840
44.5,5840
45.5,5840
46.5,2920
47.5,5840
48.5,2920
49.5,5840
50.5,2920
51.5,2920
54.5,2920
59.5,2920
